SUBJECT TRIAL TARGET CONTEXT ROW REP FOUNDRT OKSE
13 21 2 2 3 1 2703 1
13 22 2 2 9 2 15542 2
13 23 1 1 16 1 15206 1
13 24 1 2 7 2 4825 1
13 25 2 1 14 2 9038 1
13 26 2 1 1 1 1382 1
13 27 2 2 4 2 3220 1
13 28 2 1 9 1 6862 1
13 29 1 2 17 2 11402 1
13 30 1 1 12 2 9671 1
13 31 2 1 7 2 7089 1
13 32 2 2 17 2 10809 1
13 33 2 1 15 1 9773 1
13 34 2 1 4 1 3057 1
13 35 2 2 20 1 17243 1
13 36 2 1 6 1 6317 1
13 37 1 1 9 2 10713 1
13 38 1 2 3 2 2649 1
13 39 2 2 18 1 14293 1
13 40 1 1 11 1 7644 1
13 41 1 2 12 1 8909 1
13 42 1 1 12 1 8859 1
13 43 1 2 4 1 3004 1
13 44 1 1 4 1 2720 1
13 45 1 2 13 1 10544 1
13 46 2 2 7 1 4642 1
13 47 2 1 19 2 13035 1
13 48 2 1 12 2 7048 1
13 49 1 1 15 2 13530 1
13 50 2 1 8 1 7619 1
13 51 2 2 8 2 7910 1
13 52 2 1 3 1 2159 1
13 53 2 1 12 1 7820 1
13 54 2 1 3 2 2429 1
13 55 2 2 12 1 8452 1
13 56 1 1 16 2 12102 1
13 57 2 1 18 2 15026 1
13 58 2 1 8 2 7185 1
13 59 1 2 8 2 7553 1
13 60 1 1 1 2 985 1
13 61 2 2 1 2 1299 1
13 62 2 2 19 1 13849 1
13 63 2 2 8 1 6957 1
13 64 2 2 6 1 14121 2
13 65 1 2 13 2 11807 1
13 66 2 1 14 1 12989 1
13 67 2 1 20 1 12752 1
13 68 2 2 14 2 10670 1
13 69 1 2 15 1 10590 1
13 70 1 1 4 2 2829 1
13 71 2 2 10 2 7596 1
13 72 1 2 6 2 3736 1
13 73 2 1 10 2 4558 1
13 74 2 1 17 1 9769 1
13 75 1 2 11 1 5242 1
13 76 1 2 19 1 10994 1
13 77 2 2 5 2 11439 2
13 78 1 1 3 2 1573 1
13 79 1 1 3 1 1389 1
13 80 2 1 16 2 9321 1
13 81 2 2 13 2 5955 1
13 82 1 1 18 1 11541 1
13 83 1 1 6 1 3877 1
13 84 1 2 6 1 3747 1
13 85 1 1 10 1 5016 1
13 86 2 2 16 2 9314 1
13 87 1 2 18 2 12032 1
13 88 1 1 17 2 10317 1
13 89 1 1 8 1 5143 1
